"employees","salaries_2017","annual_salary_adjustments","salaries_2018","raise"
"Employee 47",46695.9714400582,457.535344175994,47153.5067842342,TRUE
"Employee 48",48478.958660271,3120.4921961762,51599.4508564472,TRUE
"Employee 49",42424.4855949655,-2940.5549983494,39483.9305966161,FALSE
"Employee 50",49730.8228397742,-1795.46988452785,47935.3529552463,FALSE
"Employee 51",47716.8799890205,5513.93772126175,53230.8177102823,TRUE
"Employee 52",46261.4785111509,-3338.02562206984,42923.4528890811,FALSE
"Employee 53",49920.1590567827,2500.73414645158,52420.8932032343,TRUE
"Employee 54",47553.7445396185,-4926.45582300611,42627.2887166124,FALSE
"Employee 55",46276.014118921,-624.604502227157,45651.4096166939,FALSE
"Employee 56",41026.0641458444,271.546029252931,41297.6101750974,TRUE
"Employee 57",47118.825071957,9599.91824580356,56718.7433177605,TRUE
"Employee 58",41720.3393857926,-3526.23478276655,38194.1046030261,FALSE
"Employee 59",45981.0410649516,-4084.94039438665,41896.1006705649,FALSE
"Employee 60",44539.288408123,6424.84798794612,50964.1363960691,TRUE
"Employee 61",44543.310306035,199.24558349885,44742.5558895338,TRUE
"Employee 62",47740.7317911275,8874.77047275752,56615.502263885,TRUE
"Employee 63",40485.1422505453,6998.83213615976,47483.9743867051,TRUE
"Employee 64",46268.952654209,-352.692895103246,45916.2597591057,FALSE
"Employee 65",46375.6907591596,-3254.09403187223,43121.5967272874,FALSE
"Employee 66",43883.0231036991,802.449524635449,44685.4726283345,TRUE
"Employee 67",42907.9361865297,6621.18067615665,49529.1168626864,TRUE
"Employee 68",40323.7131750211,6092.81672979705,46416.5299048182,TRUE
"Employee 69",46457.590200007,3138.63544724882,49596.2256472558,TRUE
"Employee 70",48787.6102910377,7119.94136450812,55907.5516555458,TRUE
"Employee 71",45737.1215242893,9618.17792500369,55355.2994492929,TRUE
"Employee 72",45742.7594810724,8466.14032634534,54208.8998074178,TRUE
"Employee 73",44983.2419422455,1163.22531830519,46146.4672605507,TRUE
"Employee 74",43494.7520750575,555.904360953718,44050.6564360112,TRUE
"Employee 75",41040.6274953857,7499.93463046849,48540.5621258542,TRUE
"Employee 76",49199.6956756338,7487.69996105693,56687.3956366908,TRUE
"Employee 77",40189.4354703836,6448.5159504693,46637.9514208529,TRUE
"Employee 78",40952.0898526534,1337.95463247225,42290.0444851257,TRUE
"Employee 79",44837.9458859563,-4120.47048565,40717.4754003063,FALSE
"Employee 80",43655.6186107919,1143.11639918014,44798.735009972,TRUE
"Employee 81",44089.628206566,3104.56529841758,47194.1935049836,TRUE
"Employee 82",40222.1355913207,3296.17104376666,43518.3066350874,TRUE
"Employee 83",46944.3630380556,5000.08199014701,51944.4450282026,TRUE
"Employee 84",42203.9210237563,4903.5015841946,47107.4226079509,TRUE
"Employee 85",40184.7908273339,6038.44111319631,46223.2319405302,TRUE
"Employee 86",44747.1877932549,-3071.71772932634,41675.4700639285,FALSE
"Employee 87",47931.605798658,976.829777937382,48908.4355765954,TRUE
"Employee 88",43996.4559255168,1901.89612912945,45898.3520546462,TRUE
"Employee 89",49592.6491287537,-3381.0370019637,46211.61212679,FALSE
"Employee 90",42256.3050617464,-2122.7289061062,40133.5761556402,FALSE
"Employee 91",40558.1061867997,3337.8511259798,43895.9573127795,TRUE
"Employee 92",49107.6073935255,-4228.4408188425,44879.166574683,FALSE
"Employee 93",43978.753706906,2425.26027024724,46404.0139771532,TRUE
"Employee 94",44733.1695095636,1649.84385599382,46383.0133655574,TRUE
"Employee 95",40302.5270137005,-4577.50962581486,35725.0173878856,FALSE
"Employee 96",40260.5672320351,5476.91821819171,45737.4854502268,TRUE
"Employee 97",46981.7139208317,1451.32609643042,48433.0400172621,TRUE
"Employee 98",47823.9363036118,-2609.82246720232,45214.1138364095,FALSE
"Employee 99",40759.8022813909,1222.468924243,41982.2712056339,TRUE
"Employee 100",46998.5397951677,-2488.99200349115,44509.5477916766,FALSE
